[Arguments] => mode: train, epoches: 10, batch: 8, load: None, save: first


Train[01/10]: 074/512, [=======>                                          ],  14.45%, loss=1.8175, total=186.1224
Train[01/10]: 075/512, [=======>                                          ],  14.65%, loss=1.7538, total=187.8762
Train[01/10]: 076/512, [=======>                                          ],  14.84%, loss=1.8285, total=189.7047
Train[01/10]: 077/512, [=======>                                          ],  15.04%, loss=1.8383, total=191.5431
Train[01/10]: 078/512, [=======>                                          ],  15.23%, loss=1.7004, total=193.2435
Train[01/10]: 079/512, [=======>                                          ],  15.43%, loss=1.7438, total=194.9873
Train[01/10]: 080/512, [=======>                                          ],  15.62%, loss=1.5070, total=196.4943
Train[01/10]: 081/512, [=======>                                          ],  15.82%, loss=1.9028, total=198.3971
Train[01/10]: 082/512, [========>                                         ],  16.02%, loss=1.7388, total=200.1359
Train[01/10]: 083/512, [========>                                         ],  16.21%, loss=1.6520, total=201.7879
Train[01/10]: 084/512, [========>                                         ],  16.41%, loss=1.5504, total=203.3384
Train[01/10]: 085/512, [========>                                         ],  16.60%, loss=1.3030, total=204.6414
Train[01/10]: 086/512, [========>                                         ],  16.80%, loss=1.7037, total=206.3451
Train[01/10]: 087/512, [========>                                         ],  16.99%, loss=1.3416, total=207.6867
Train[01/10]: 088/512, [========>                                         ],  17.19%, loss=1.5780, total=209.2647
Train[01/10]: 089/512, [========>                                         ],  17.38%, loss=1.4596, total=210.7242
Train[01/10]: 090/512, [========>                                         ],  17.58%, loss=1.6382, total=212.3624
Train[01/10]: 091/512, [========>                                         ],  17.77%, loss=1.6642, total=214.0266
Train[01/10]: 092/512, [========>                                         ],  17.97%, loss=2.0598, total=216.0864
Train[01/10]: 093/512, [=========>                                        ],  18.16%, loss=1.5762, total=217.6626
Train[01/10]: 094/512, [=========>                                        ],  18.36%, loss=1.5676, total=219.2302
Train[01/10]: 095/512, [=========>                                        ],  18.55%, loss=1.2825, total=220.5127
Train[01/10]: 096/512, [=========>                                        ],  18.75%, loss=1.6954, total=222.2082
Train[01/10]: 097/512, [=========>                                        ],  18.95%, loss=2.0221, total=224.2303
Train[01/10]: 098/512, [=========>                                        ],  19.14%, loss=1.5137, total=225.7439
Train[01/10]: 099/512, [=========>                                        ],  19.34%, loss=1.6373, total=227.3812
Train[01/10]: 100/512, [=========>                                        ],  19.53%, loss=1.2643, total=228.6455
Train[01/10]: 101/512, [=========>                                        ],  19.73%, loss=1.4159, total=230.0613
Train[01/10]: 102/512, [=========>                                        ],  19.92%, loss=1.5402, total=231.6016
Train[01/10]: 103/512, [==========>                                       ],  20.12%, loss=1.2934, total=232.8950
Train[01/10]: 104/512, [==========>                                       ],  20.31%, loss=1.3594, total=234.2543
Train[01/10]: 105/512, [==========>                                       ],  20.51%, loss=1.7188, total=235.9731
Train[01/10]: 106/512, [==========>                                       ],  20.70%, loss=1.5047, total=237.4778
Train[01/10]: 107/512, [==========>                                       ],  20.90%, loss=1.4066, total=238.8844
Train[01/10]: 108/512, [==========>                                       ],  21.09%, loss=1.3114, total=240.1959
Train[01/10]: 109/512, [==========>                                       ],  21.29%, loss=1.6092, total=241.8051
Train[01/10]: 110/512, [==========>                                       ],  21.48%, loss=1.6483, total=243.4534
Train[01/10]: 111/512, [==========>                                       ],  21.68%, loss=1.4806, total=244.9340
Train[01/10]: 112/512, [==========>                                       ],  21.88%, loss=1.4321, total=246.3661
Train[01/10]: 113/512, [===========>                                      ],  22.07%, loss=1.3818, total=247.7479
Train[01/10]: 114/512, [===========>                                      ],  22.27%, loss=1.3000, total=249.0479
Train[01/10]: 115/512, [===========>                                      ],  22.46%, loss=1.2580, total=250.3060
Train[01/10]: 116/512, [===========>                                      ],  22.66%, loss=1.2589, total=251.5648
Train[01/10]: 117/512, [===========>                                      ],  22.85%, loss=1.3123, total=252.8772
Train[01/10]: 118/512, [===========>                                      ],  23.05%, loss=1.4622, total=254.3394
Train[01/10]: 119/512, [===========>                                      ],  23.24%, loss=1.5706, total=255.9100
Train[01/10]: 120/512, [===========>                                      ],  23.44%, loss=1.3639, total=257.2739
Train[01/10]: 121/512, [===========>                                      ],  23.63%, loss=1.4774, total=258.7512
Train[01/10]: 122/512, [===========>                                      ],  23.83%, loss=0.9264, total=259.6776
Train[01/10]: 123/512, [============>                                     ],  24.02%, loss=2.8843, total=262.5619
Train[01/10]: 124/512, [============>                                     ],  24.22%, loss=1.0800, total=263.6419
Train[01/10]: 125/512, [============>                                     ],  24.41%, loss=1.3264, total=264.9684
Train[01/10]: 126/512, [============>                                     ],  24.61%, loss=1.3315, total=266.2998
Train[01/10]: 127/512, [============>                                     ],  24.80%, loss=1.5648, total=267.8646
Train[01/10]: 128/512, [============>                                     ],  25.00%, loss=1.3082, total=269.1728
Train[01/10]: 129/512, [============>                                     ],  25.20%, loss=1.3785, total=270.5513
Train[01/10]: 130/512, [============>                                     ],  25.39%, loss=1.3310, total=271.8823
Train[01/10]: 131/512, [============>                                     ],  25.59%, loss=1.6925, total=273.5748
Train[01/10]: 132/512, [============>                                     ],  25.78%, loss=1.1345, total=274.7094
Train[01/10]: 133/512, [============>                                     ],  25.98%, loss=1.3276, total=276.0370
Train[01/10]: 134/512, [=============>                                    ],  26.17%, loss=1.0346, total=277.0716
Train[01/10]: 135/512, [=============>                                    ],  26.37%, loss=1.3772, total=278.4488
Train[01/10]: 136/512, [=============>                                    ],  26.56%, loss=0.9325, total=279.3813
Train[01/10]: 137/512, [=============>                                    ],  26.76%, loss=1.2707, total=280.6520
Train[01/10]: 138/512, [=============>                                    ],  26.95%, loss=1.1953, total=281.8473
Train[01/10]: 139/512, [=============>                                    ],  27.15%, loss=1.2051, total=283.0524
Train[01/10]: 140/512, [=============>                                    ],  27.34%, loss=1.3290, total=284.3814
Train[01/10]: 141/512, [=============>                                    ],  27.54%, loss=1.4809, total=285.8623
Train[01/10]: 142/512, [=============>                                    ],  27.73%, loss=1.2425, total=287.1048
Train[01/10]: 143/512, [=============>                                    ],  27.93%, loss=0.9965, total=288.1014
